BookID,Short,Name,TotalChapters,Volume
0,Gen,Genesis,50,OT
1,Exod,Exodus,40,OT
2,Lev,Leviticus,27,OT
3,Num,Numbers,36,OT
4,Deut,Deuteronomy,34,OT
5,Josh,Joshua,24,OT
6,Judg,Judges,21,OT
7,Ruth,Ruth,4,OT
8,1Sam,1 Samuel,31,OT
9,2Sam,2 Samuel,24,OT
10,1Kgs,1 Kings,22,OT
11,2Kgs,2 Kings,25,OT
12,1Chr,1 Chronicles,29,OT
13,2Chr,2 Chronicles,36,OT
14,Ezra,Ezra,10,OT
15,Neh,Nehemiah,13,OT
16,Esth,Esther,10,OT
17,Job,Job,42,OT
18,Ps,Psalms,150,OT
19,Prov,Proverbs,31,OT
20,Eccl,Ecclesiastes,12,OT
21,Song,Song of Solomon,8,OT
22,Isa,Isaiah,66,OT
23,Jer,Jeremiah,52,OT
24,Lam,Lamentations,5,OT
25,Ezek,Ezekiel,48,OT
26,Dan,Daniel,12,OT
27,Hos,Hosea,14,OT
28,Joel,Joel,3,OT
29,Amos,Amos,9,OT
30,Obad,Obadiah,1,OT
31,Jonah,Jonah,4,OT
32,Mic,Micah,7,OT
33,Nah,Nahum,3,OT
34,Hab,Habakkuk,3,OT
35,Zeph,Zephaniah,3,OT
36,Hag,Haggai,2,OT
37,Zech,Zechariah,14,OT
38,Mal,Malachi,4,OT
39,Matt,Matthew,28,NT
40,Mark,Mark,16,NT
41,Luke,Luke,24,NT
42,John,John,21,NT
43,Acts,Acts,28,NT
44,Rom,Romans,16,NT
45,1Cor,1 Corinthians,16,NT
46,2Cor,2 Corinthians,13,NT
47,Gal,Galatians,6,NT
48,Eph,Ephesians,6,NT
49,Phil,Philippians,4,NT
50,Col,Colossians,4,NT
51,1Thess,1 Thessalonians,5,NT
52,2Thess,2 Thessalonians,3,NT
53,1Tim,1 Timothy,6,NT
54,2Tim,2 Timothy,4,NT
55,Titus,Titus,3,NT
56,Phlm,Philemon,1,NT
57,Heb,Hebrews,13,NT
58,Jas,James,5,NT
59,1Pet,1 Peter,5,NT
60,2Pet,2 Peter,3,NT
61,1John,1 John,5,NT
62,2John,2 John,1,NT
63,3John,3 John,1,NT
64,Jude,Jude,1,NT
65,Rev,Revelation,22,NT